calendar_yearmonth,Year_Name,Month_Name,SAID,number_of_Cases,number_of_escalation,number_of_parts_used,number_of_single_visit_missed,number_of_response_missed
201210,2012,10,102375403900,2,0,2,0,0
201112,2011,12,102395623542,1,0,0,0,0
201201,2012,1,102395623542,6,0,3,0,0
201205,2012,5,102385071694,1,0,1,0,0
201209,2012,9,102375403900,2,0,3,0,0
201209,2012,9,102342302457,1,0,1,0,0
201210,2012,10,107618296981,1,0,0,0,0
201210,2012,10,102397450726,9,0,0,0,0
201203,2012,3,102390922100,1,0,0,0,0
201204,2012,4,107557030164,1,0,0,0,0
201205,2012,5,107551354575,1,0,1,0,0
201203,2012,3,107564919930,3,0,3,0,0
201209,2012,9,102422281762,2,0,2,0,0
201201,2012,1,102343027668,1,0,1,0,0
201201,2012,1,102343037313,1,0,1,0,0
201205,2012,5,102343027668,1,0,1,0,0
201203,2012,3,102343037313,1,0,0,0,0
201205,2012,5,102343037313,2,0,0,0,0
201207,2012,7,102343027668,1,0,0,0,0
201207,2012,7,102343037313,3,0,1,0,0
201204,2012,4,102413581037,25,0,0,0,0
201208,2012,8,102395231010,3,0,2,0,0
201207,2012,7,102412729041,1,0,1,0,0
201206,2012,6,102395231010,3,0,1,0,0
201207,2012,7,102413581037,1,0,1,0,0
201204,2012,4,102499709444,1,0,0,0,0
201205,2012,5,102495137382,2,0,1,0,0
201205,2012,5,102401414202,1,0,1,0,0
201211,2012,11,102598592451,1,0,0,0,0
201211,2012,11,102598899445,6,0,0,0,0
201301,2013,1,102599237769,1,0,1,0,0
201301,2013,1,102598581163,1,0,0,0,0
201301,2013,1,102598592451,2,0,1,0,0
201301,2013,1,102598630861,2,0,0,0,0
201212,2012,12,102598757930,1,0,0,0,0
201201,2012,1,102336332486,2,0,1,0,0
201204,2012,4,107538038545,4,0,0,0,0
201209,2012,9,107627912594,3,0,1,0,0
201204,2012,4,102388155405,2,0,2,0,0
201205,2012,5,102379284437,2,0,1,0,0
201210,2012,10,102381298047,1,0,1,0,0
201209,2012,9,107598379140,1,0,1,0,0
201308,2013,8,102598179797,2,0,2,0,0
201303,2013,3,102598203840,1,0,0,0,0
201305,2013,5,102598203840,1,0,0,0,0
201303,2013,3,102598204153,1,0,1,0,0
201303,2013,3,102598659103,12,0,5,0,0
201305,2013,5,102598659103,6,0,0,0,0
201302,2013,2,102598203840,2,0,1,0,0
201304,2013,4,102598203840,1,0,0,0,0
201302,2013,2,102598204153,1,0,0,0,0
201304,2013,4,102598204153,1,0,1,0,0
201211,2012,11,107179348111,1,0,1,0,0
201212,2012,12,107179348111,1,0,1,0,0
201211,2012,11,107179810584,1,0,1,0,0
201301,2013,1,102618688638,1,0,0,0,0
201301,2013,1,102619706798,1,0,1,0,0
201307,2013,7,102598204153,2,0,0,0,0
201208,2012,8,102324840364,1,0,0,0,0
201206,2012,6,102324840364,2,0,3,0,0
201210,2012,10,102324840364,5,0,0,0,0
201202,2012,2,102346029202,3,0,0,0,0
201206,2012,6,107571642850,1,0,1,1,0
201208,2012,8,107571642850,11,0,0,0,0
201209,2012,9,102485819273,2,0,0,0,0
201204,2012,4,102396885698,4,0,4,0,0
201201,2012,1,102357266178,2,0,2,0,0
201111,2011,11,102357266178,1,0,0,0,0
201208,2012,8,102357266178,1,0,0,0,0
201207,2012,7,107573102260,1,0,1,0,0
201206,2012,6,107571862304,1,0,0,0,0
201208,2012,8,107573102260,10,0,0,0,0
201209,2012,9,107573102260,1,0,0,0,0
201210,2012,10,107616005241,2,0,1,0,1
201209,2012,9,107635038317,3,0,1,0,0
201203,2012,3,102407203587,1,0,0,0,0
201111,2011,11,102409430873,1,0,1,0,0
201207,2012,7,107604401130,1,0,0,0,0
201208,2012,8,107604401130,1,0,1,0,0
201205,2012,5,102388155575,2,0,1,0,0
201206,2012,6,102353795299,2,0,1,0,0
201207,2012,7,102353795299,1,0,0,0,0
201112,2011,12,102353795299,1,0,0,0,0
201201,2012,1,102353795299,2,0,0,0,0
201203,2012,3,102353795299,2,0,3,1,0
201112,2011,12,102254215870,1,0,1,0,0
201111,2011,11,102254215870,2,0,0,0,0
201204,2012,4,102254215870,3,0,0,0,0
201210,2012,10,102353795299,1,0,0,0,0
201202,2012,2,102254215870,2,0,0,0,0
201206,2012,6,102254215870,1,0,0,0,0
201210,2012,10,102254215870,3,0,1,0,0
201209,2012,9,102353795299,6,0,2,0,0
201205,2012,5,102254215870,3,0,2,0,0
201111,2011,11,102353795299,3,0,3,0,0
201202,2012,2,102353795299,1,0,1,0,0
201204,2012,4,102353795299,1,0,1,0,1
201207,2012,7,102390920614,1,0,0,0,0
201203,2012,3,107551326484,1,0,0,0,0
201201,2012,1,102397405022,1,0,0,0,0
201202,2012,2,102397405022,1,0,0,0,0
201204,2012,4,102431291058,1,0,1,0,0
201209,2012,9,102422690058,1,0,0,0,0
201112,2011,12,102392319536,2,1,0,0,0
201209,2012,9,102485855234,1,0,0,0,0
201203,2012,3,102366575745,1,0,0,0,0
201209,2012,9,102369233896,1,0,0,0,0
201210,2012,10,102367479759,1,0,1,0,0
201206,2012,6,102369241602,1,0,0,0,0
201112,2011,12,102261348901,1,0,1,0,0
201204,2012,4,102392067543,3,0,1,0,0
201202,2012,2,102341385228,1,0,0,0,0
201204,2012,4,102261348901,1,0,1,0,0
201202,2012,2,102394508566,1,0,1,0,0
201206,2012,6,102394508566,1,0,0,0,0
201204,2012,4,102394709885,2,0,1,1,0
201206,2012,6,102394709885,1,0,1,0,0
201207,2012,7,102394508566,2,1,2,0,0
201207,2012,7,102395525450,9,1,1,0,0
201206,2012,6,102395801222,10,0,0,0,0
201111,2011,11,102394508566,2,0,1,0,0
201112,2011,12,102394508566,1,0,1,0,0
201111,2011,11,102394709885,3,0,0,0,1
201112,2011,12,102394709885,1,0,0,0,0
201111,2011,11,102412731405,1,0,0,0,0
201204,2012,4,102394688108,1,0,0,0,0
201209,2012,9,102394709885,1,0,0,0,0
201111,2011,11,102402928914,1,0,1,0,0
201204,2012,4,102392112870,1,0,0,0,0
201112,2011,12,102392112870,8,0,0,0,0
201201,2012,1,102392112870,43,3,4,0,0
201202,2012,2,102393824160,1,0,1,0,0
201202,2012,2,102395623252,1,0,0,0,0
201203,2012,3,102393824160,1,0,0,0,0
201205,2012,5,102393824160,1,0,1,0,0
201111,2011,11,102393824160,2,0,0,0,1
201206,2012,6,102395623252,3,0,1,0,0
201208,2012,8,102121962357,1,0,0,0,0
201204,2012,4,102393824160,1,0,1,0,0
201207,2012,7,102393824160,1,0,0,0,0
201207,2012,7,102395623252,2,0,1,0,0
201210,2012,10,102393824160,1,0,0,0,0
201210,2012,10,102395623252,1,1,1,0,0
201203,2012,3,102395623252,1,0,0,0,0
201111,2011,11,102395623252,1,0,0,0,0
201112,2011,12,102402927731,3,0,3,0,0
201201,2012,1,102402927731,1,0,1,0,0
201203,2012,3,102430132659,3,0,1,0,0
201205,2012,5,102430132659,1,0,0,0,0
201207,2012,7,102409573331,1,0,1,0,0
201111,2011,11,102426614539,2,0,1,0,0
201209,2012,9,107604401130,1,0,1,0,0
201204,2012,4,102409430873,2,0,3,0,0
201205,2012,5,102372809530,3,0,2,1,0
201208,2012,8,102412894900,1,0,0,0,0
201203,2012,3,102372259838,1,0,0,0,0
201207,2012,7,102412894900,1,0,0,0,0
201201,2012,1,102372259838,1,0,2,0,0
201201,2012,1,102412766065,3,0,3,0,0
201204,2012,4,102412878574,1,0,1,0,0
201111,2011,11,102412894900,1,0,1,0,0
