renewal_date,status,SAID,Chan.Prof
20130501,Loss,101748422852,Direct
20130501,Loss,101748543024,Direct
20130501,Loss,101748579737,Direct
20130501,Loss,101750475321,Indirect
20130501,Loss,101750479632,Indirect
20130501,Converted,101750454158,Direct
20130501,Loss,101750461135,Direct
20130401,Loss,101750463200,Indirect
20130501,Converted,101750485897,Indirect
20130501,Loss,101750663287,Direct
20130501,Loss,101750696341,Indirect
20130401,Loss,101750696708,Indirect
20130501,Loss,101750711572,Indirect
20130501,Converted,101750592392,Direct
20130501,Loss,101750753270,Direct
20130501,Loss,101750821846,Indirect
20130501,Loss,101750764338,Direct
20130501,Loss,101751153051,Direct
20130501,Converted,101751234631,Direct
20130501,Loss,101751290233,Indirect
20130501,Loss,101752085506,Direct
20130501,Converted,101751981658,Direct
20130501,Loss,101752003997,Direct
20130501,Loss,101752023528,Indirect
20130501,Loss,101752045234,Direct
20130601,Loss,101752198908,Indirect
20130501,Loss,101752210130,Direct
20130501,Loss,101752294575,Indirect
20130501,Loss,101752328966,Indirect
20130401,Loss,101752335073,Indirect
20130601,Loss,101752306960,Indirect
20130501,Loss,101752324135,Direct
20130501,Loss,101752327783,Direct
20130501,Loss,101797540600,Indirect
20130501,Loss,101752480065,Direct
20130601,Loss,101752493949,Indirect
20130501,Loss,101752513563,Indirect
20130501,Loss,101752513623,Direct
20130501,Loss,101752530946,Indirect
20130501,Loss,101752553195,Indirect
20130501,Loss,101752541364,Direct
20130501,Loss,101752555900,Direct
20130402,Loss,101752674817,Indirect
20130501,Loss,101752975654,Indirect
20130601,Loss,101753027280,Indirect
20130501,Loss,101753333969,Direct
20130601,Loss,107522209551,Direct
20130501,Loss,101753740999,Direct
20130501,Loss,101753746915,Direct
20130501,Loss,101754729563,Direct
20130401,Loss,101754850193,Direct
20130401,Loss,101754606056,Direct
20130601,Converted,101754732000,Direct
20130501,Loss,101754759080,Indirect
20130501,Loss,101754757200,Direct
20130601,Loss,101754762856,Indirect
20130601,Loss,101754771559,Indirect
20130501,Loss,101754810561,Direct
20130501,Loss,101755475076,Direct
20130501,Loss,101755550270,Direct
20130501,Loss,101755633635,Indirect
20130501,Loss,101755636823,Indirect
20130501,Loss,101755657707,Direct
20130701,Loss,101755688286,Direct
20130501,Loss,101755693488,Direct
20130501,Loss,101755723568,Direct
20130501,Loss,101755727649,Direct
20130407,Loss,101756397935,Indirect
20130407,Loss,101756404836,Indirect
20130407,Loss,101756404902,Indirect
20130501,Loss,101756224790,Direct
20130415,Loss,101756256212,Direct
20130601,Loss,101756252651,Indirect
20130601,Loss,101756332479,Direct
20130501,Loss,101756931501,Direct
20130601,Converted,101757366807,Direct
20130601,Loss,101757481112,Direct
